Model,Crema-D,DementiaBank,Savee,Voxforge,Speech_commands,mask_challenge,ESC-50_HS,Voxceleb,Crema-D_N,DementiaBank_N,Savee_N,Voxforge_N,Speech_commands_N,mask_challenge_N,ESC-50_HS_N,Voxceleb_N,ModelPath,PerfLab_SessionID,MV3Size,Avg_Pool,Alpha,Compression,Quantized-Aware_Trained,Size(MB),Pixel4 CPU Latency(ms),Pixel4 GPU Latency(ms),Pixel1 CPU Latency(ms),Pixel1 GPU Latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 21,0.608,0.6765,0.5083,0.6409,0.5229,0.5864,0.7727,0.2931,0.201578551,-0.003685842,-0.07993707,0.013401463,0.18831902,-0.016814848,0.497441185,0.403718369,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_21.tflite,3383,small,TRUE,1.5,TRUE,FALSE,14.37630463,1.907604207,6.726597315,4.50336036,8.795078947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 22,0.4364,0.6765,0.3917,0.5305,0.1992,0.5449,0.5606,0.0007,-0.49346603,-0.003685842,-0.552210952,-0.433760086,-1.122787803,-0.184905466,-0.361643638,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_22.tflite,3367,small,TRUE,1.5,TRUE,TRUE,3.958786011,2.777838889,6.751432432,7.27426087,9.913306931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 23,0.5321,0.6765,0.5333,0.5633,0.2624,0.5913,0.6364,0.0009,-0.105845013,-0.003685842,0.021322338,-0.300907742,-0.866804018,0.003031996,-0.054625111,-0.779801599,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_23.tflite,3374,small,TRUE,2,TRUE,FALSE,24.11468506,2.911137026,8.816245614,7.19876259,19.27284906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 24,0.6427,0.6765,0.7167,0.7434,0.716,0.6366,0.7727,0.3973,0.342126611,-0.003685842,0.76416136,0.428565038,0.970446692,0.186514044,0.497441185,0.825767584,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_24.tflite,3384,tiny,FALSE,2,FALSE,TRUE,15.66676331,3.610187726,6.84862585,8.312099174,46.62734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 25,0.4441,0.6765,0.35,0.5298,0.1965,0.5449,0.5455,0.0007,-0.462278132,-0.003685842,-0.721111646,-0.436595349,-1.13372382,-0.184905466,-0.422804321,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_25.tflite,3368,small,TRUE,2,TRUE,TRUE,6.485046387,3.94987747,9.040477477,10.61125263,23.83146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 26,0.6285,0.6863,0.6167,0.6406,0.5853,0.611,0.7576,0.2312,0.284611266,0.036007846,0.359123726,0.01218635,0.441062504,0.08282441,0.436280502,0.153000073,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_26.tflite,3375,large,FALSE,0.5,TRUE,FALSE,9.167064667,1.443137482,5.683323864,2.950295858,13.81731507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 27,0.412,0.6667,0.3667,0.5285,0.2065,0.5449,0.5303,0.0007,-0.592295212,-0.043379531,-0.653470361,-0.441860839,-1.093220056,-0.184905466,-0.484370042,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_27.tflite,3385,large,FALSE,0.5,TRUE,TRUE,2.572265625,1.226028256,5.400697297,5.344459893,11.15297778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 28,0.5553,0.6863,0.4667,0.566,0.3986,0.6139,0.5909,0.0016,-0.011876282,0.036007846,-0.248432726,-0.289971726,-0.31514276,0.094570501,-0.238917235,-0.776966336,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_28.tflite,3369,large,FALSE,0.75,TRUE,FALSE,14.12832642,2.275193622,6.546104575,5.020396985,10.92986957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 29,0.4254,0.6863,0.4083,0.5285,0.2067,0.5449,0.4242,0.0007,-0.538020169,0.036007846,-0.484974705,-0.441860839,-1.092409981,-0.184905466,-0.914114972,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_29.tflite,3376,large,FALSE,0.75,TRUE,TRUE,3.892959595,2.21621286,6.804653061,6.644198675,17.02733898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 30,0.5816,0.6863,0.5333,0.613,0.4765,0.6,0.7273,0.2913,0.094648616,0.036007846,0.021322338,-0.099604037,0.000381557,0.03827027,0.313554099,0.396427692,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_30.tflite,3386,large,FALSE,1,TRUE,FALSE,19.80057526,6.9018,8.104266129,12.31396341,20.76004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 31,0.4152,0.6863,0.3583,0.5285,0.2025,0.5449,0.5152,0.0007,-0.579334008,0.036007846,-0.687493522,-0.441860839,-1.109421562,-0.184905466,-0.545530724,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_31.tflite,32210,large,FALSE,1,TRUE,TRUE,5.384170532,2.772647222,7.752821705,8.281842975,16.4497541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 32,0.6253,0.6863,0.5083,0.6254,0.5777,0.6135,0.7879,0.299,0.271650062,0.036007846,-0.07993707,-0.049379371,0.410279643,0.092950351,0.559006905,0.42761559,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_32.tflite,3370,large,FALSE,1.25,TRUE,FALSE,29.87593842,4.359147826,9.962861386,10.25565306,22.85338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 33,0.4062,0.6863,0.3917,0.5337,0.2025,0.5449,0.5,0.0007,-0.615787395,0.036007846,-0.552210952,-0.420798882,-1.109421562,-0.184905466,-0.607096445,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_33.tflite,3377,large,FALSE,1.25,TRUE,TRUE,8.000335693,3.800562738,10.47114583,14.55253623,26.0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 34,0.6112,0.6863,0.5667,0.5772,0.4436,0.6111,0.6818,0.0034,0.214539756,0.036007846,0.156604908,-0.244607511,-0.132875825,0.083229448,0.129261975,-0.769675658,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_34.tflite,3387,large,FALSE,1.5,TRUE,FALSE,41.09424591,5.807680233,11.7325,14.08921127,23.5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 35,0.6587,0.6765,0.675,0.6947,0.7086,0.6179,0.8636,0.3088,0.406932632,-0.003685842,0.595260667,0.23131171,0.940473907,0.110772007,0.865620394,0.467309278,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_35.tflite,3391,tiny,TRUE,0.5,FALSE,FALSE,5.316917419,1.347215924,3.583802867,2.406345411,11.46919318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 36,0.3985,0.6765,0.3583,0.5285,0.1953,0.5449,0.4848,0.0007,-0.646975293,-0.003685842,-0.687493522,-0.441860839,-1.138584271,-0.184905466,-0.668662165,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_36.tflite,3378,large,FALSE,1.5,TRUE,TRUE,10.89346313,4.833376812,11.03405495,19.06175472,25.77432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 37,0.536,0.6667,0.5667,-1,-1,0.6029,0.6364,0.001,-0.090048546,-0.043379531,0.156604908,-2.582484737,-1.929622771,0.050016362,-0.054625111,-0.779396561,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_37.tflite,3388,large,FALSE,2,TRUE,FALSE,69.82167435,21.81612,18.25347273,23.04702,32.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 38,0.3972,0.6863,0.35,0.5285,0.1773,0.5449,0.4242,0.0007,-0.652240782,0.036007846,-0.721111646,-0.441860839,-1.211491045,-0.184905466,-0.914114972,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_38.tflite,3392,large,FALSE,2,TRUE,TRUE,18.25195313,10.05447,18.37585455,24.79894,34.53422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
